车牌	VIN	ICCID	最后通讯时间	最后有效里程	电压	最后有效总电压上传时间	最后经度	最后纬度
浙AM99G9	LGHC4V1D0HE205024	89860117796000678999	20180712115957	4814.0	566.4	20180712115957	119.848673	30.054125
浙AL30L3	LGHC4V1D7HE205022	89860117750004336955	20180712114512	13116.0	570.8	20180712114512	118.767033	28.938563
浙AL13C2	LGHC4V1D5HE205021	89860117750004313715	20180712042833	9263.0	571.2	20180518123037	120.024327	30.245647
浙AM39Q7	LGHC4V1D3HE205020	89860117796000678601	20180712115939	2934.0	570.5	20180712115939	120.32524	30.310982
川AD16227	LGHC4V1D2HE202464	89860117796000557300	20180712115953	10962.0	524.1	20180712115953	104.006412	30.652747
川AD16209	LGHC4V1D2HE202481	89860117796000679195	20180707132949	22772.0	550.1	20180707132949	104.10054	30.623822
川AD07595	LGHC4V1D6HE202483	89860117796000679609	20180712115958	13931.0	571.6	20180712115958	104.052968	30.542318
川AD10669	LGHC4V1D6HE202497	89860117750004327921	20180712075201	7772.0	517.1	20180710194522	104.121257	31.061477
川AD13918	LGHC4V1D8HE202498	89860117796000678726	20180703163143	20092.0	551.8	20180703163143	103.980873	30.727127
川AD19317	LGHC4V1D2HE202500	89860117796000679823	20180712115958	21501.0	554.1	20180712115958	104.105815	30.546618
川AD12316	LGHC4V1DXHE202504	89860117750004336708	20180712103924	10833.0	526.0	20180712103924	104.08882	30.694122
川AD09669	LGHC4V1D3HE202506	89860117795950234803	20180712115956	18364.0	526.6	20180712115956	104.057715	30.56245
川AD18329	LGHC4V1D7HE202508	89860117796000679690	20180712113505	14217.0	589.3	20180712113505	103.977253	30.555413
陕A8D7E2	LGHC4V1D2HE203162	89860117750004328556	20180712113542	11385.0	588.0	20180712113542	109.525235	34.518897
陕A3D6T0	LGHC4V1D4HE203163	89860117750004318201	20180712005823	197.0	529.3	20180711125629	108.994593	34.373568
陕A5D7V2	LGHC4V1D8HE203165	89860117795950233045	20180712115048	999.0	581.5	20180712115048	109.119085	34.27445
川AD15056	LGHC4V1D1HE202407	89860117796000439863	20180712041640	4022.0	563.5	20180626150730	104.1812	30.556982
川AD15017	LGHC4V1D3HE202408	89860117796000559066	20180712073424	253.0	571.5	20180704065829	104.16893	30.840518
川AD12227	LGHC4V1D5HE202412	89860117796000439848	20180712084046	3995.0	564.0	20180712084046	103.910698	30.794082
川AD15967	LGHC4V1D9HE202414	89860117796000558092	20180712115940	4815.0	570.8	20180712115940	103.992053	30.71396
川AD05802	LGHC4V1D0HE202415	89860117796000557805	20180712115924	6350.0	571.5	20180712115924	103.914323	30.529433
川AD07918	LGHC4V1D4HE202417	89860117796000558159	20180712061616	1430.0	582.1	20180707175608	103.987883	30.526798
川AD16298	LGHC4V1D6HE202421	89860117796000557441	20180710094528	1889.0	572.1	20180710094528	103.98783	30.526923
川AD07527	LGHC4V1D8HE202422	89860117796000556641	20180707100848	666.0	576.1	20180707100848	103.987877	30.526923
川AD16581	LGHC4V1DXHE202423	89860117796000557797	20180704065751	353.0	570.3	20180704065751	104.129573	30.807518
川AD15087	LGHC4V1D0HE202429	89860117796000557516	20180712115931	3427.0	571.8	20180712115931	104.063787	30.692953
川AD16529	LGHC4V1D7HE202430	89860117796000557995	20180712115948	2994.0	571.2	20180712115948	104.079117	30.50379
川AD15906	LGHC4V1D4HE202434	89860117796000557508	20180712115956	2680.0	566.4	20180712115956	103.964263	30.535308
川AD07509	LGHC4V1D6HE202435	89860117796000557979	20180712115956	7042.0	571.7	20180712115956	104.015747	30.561568
川AD15276	LGHC4V1D8HE202436	89860117796000557987	20180710190059	88.0	563.3	20180710190059	104.18118	30.556615
川AD06133	LGHC4V1D1HE202438	89860117795910149117	20180712115932	3176.0	569.8	20180712115932	104.06363	30.693027
川AD08961	LGHC4V1D3HE202439	89860117796000557235	20180712115931	9239.0	572.3	20180712115931	104.183095	30.558545
川AD02967	LGHC4V1DXHE202440	89860117750004336815	20180712044107	87.0	563.0	20180704160823	104.181593	30.557157
川AD05896	LGHC4V1D3HE202442	89860117796000557268	20180712105754	3063.0	561.8	20180712105754	104.014457	30.55955
川AD15987	LGHC4V1D5HE202443	89860117796000559793	20180712115958	60.0	564.5	20180712115958	104.181538	30.557203
川AD06182	LGHC4V1D7HE202444	89860117796000556708	20180712114610	7964.0	572.0	20180712114610	104.124102	30.799958
川AD10629	LGHC4V1D0HE202446	89860117796000556658	20180712115957	7196.0	569.6	20180712115957	103.992483	30.612672
川AD07223	LGHC4V1D4HE202448	89860117796000557342	20180712115954	4572.0	565.6	20180712115954	104.034237	30.73895
川AD00436	LGHC4V1D6HE202449	89860117796000557193	20180712085636	3600.0	572.3	20180712085636	104.168953	30.840577
川AD07518	LGHC4V1D4HE202451	89860117796000556591	20180712104029	5822.0	572.4	20180712104029	103.909767	30.79359
川AD12397	LGHC4V1D6HE202452	89860117796000557524	20180710184722	2307.0	572.3	20180710184722	104.169195	30.840505
川AD02020	LGHC4V1D8HE202453	89860117796000557060	20180712115934	8402.0	571.4	20180712115934	104.011312	30.745432
陕A3D0J1	LGHC4V1D0HE205685	89860117750004310133	20180712115953	8346.0	570.2	20180712115953	108.753708	34.23602
陕A1D7V0	LGHC4V1D9HE205684	89860117750004339413	20180712115942	1001.0	547.3	20180712115942	108.966335	34.187633
陕A1D3E0	LGHC4V1D5HE205682	89860117796000678056	20180703161609	23.0	572.0	20180703161609	108.80642	34.288772
陕A5D7X3	LGHC4V1D3HE205681	89860117795950236873	20180712101852	19749.0	564.6	20180712101852	108.836023	34.236808
陕A6D9Z1	LGHC4V1D1HE205680	89860117750004310893	20180712115952	6879.0	571.1	20180712115952	108.966472	34.234718
陕A0D6R7	LGHC4V1D3HE205678	89860117750004310869	20180712115940	5439.0	568.8	20180712115940	108.91714	34.190288
陕A5D6E0	LGHC4V1D1HE205677	89860117750004310885	20180712115947	6166.0	571.4	20180712115947	108.923985	34.198875
陕A2D9C3	LGHC4V1DXHE205676	89860117796000677959	20180712115948	6238.0	563.2	20180712115948	108.918915	34.379372
陕A6D7L3	LGHC4V1D6HE205674	89860117795950229696	20180712061208	1026.0	572.3	20180710180551	108.851618	34.206747
陕A1D3V7	LGHC4V1D4HE205673	89860117750004313954	20180712115957	3381.0	571.1	20180712115957	109.01117	34.24175
陕A3D7T1	LGHC4V1D0HE205671	89860117750004311925	20180712114820	7892.0	571.7	20180712114820	108.902415	34.182578
陕A3D9Q7	LGHC4V1D9HE205670	89860117796000678023	20180712115946	6287.0	567.7	20180712115946	109.046205	34.281923
陕A3D2P5	LGHC4V1D0HE205668	89860117796000678841	20180703160008	12.0	570.0	20180703160008	108.80644	34.288668
陕A1D5R3	LGHC4V1D9HE205667	89860117750004339280	20180712115935	11144.0	571.7	20180712115935	109.003435	34.504298
陕A6D4Y0	LGHC4V1D7HE205666	89860117750004310968	20180712015115	48.0	565.3	20180528103507	108.933795	34.145352
陕A8D1T3	LGHC4V1D3HE205664	89860117750004338514	20180712115016	7589.0	570.7	20180712115016	108.874567	34.285073
陕A7D3A1	LGHC4V1D1HE205663	89860117750004312188	20180709150525	4868.0	572.1	20180627141255	108.836088	34.23736
陕A7D9U2	LGHC4V1DXHE205662	89860117750004313178	20180712115942	17891.0	570.5	20180712115942	108.934302	34.22181
陕A3D7Y8	LGHC4V1D6HE205660	89860117750004314879	20180712114140	18592.0	560.8	20180712114140	108.817985	34.188217
陕A1D3M2	LGHC4V1DXHE205659	89860117750004339462	20180712120000	9264.0	571.8	20180712120000	108.80483	34.24198
陕A6D5K4	LGHC4V1D6HE205657	89860117750004312246	20180712073851	10835.0	571.8	20180712073851	109.065867	34.361662
陕A5D6W3	LGHC4V1D4HE205656	89860117750004313798	20180712025308	60.0	571.1	20180620131831	108.93366	34.14532
陕A6D5J7	LGHC4V1D0HE205654	89860117750004310653	20180712115843	5259.0	571.2	20180712115843	108.708797	34.3136
陕A7D3Z8	LGHC4V1D9HE205653	89860117750004314440	20180712115945	4813.0	571.1	20180712115945	108.915215	34.383987
陕A7D5R0	LGHC4V1D5HE205651	89860117750004310679	20180712115952	12468.0	572.0	20180712115952	108.9904	34.331128
陕A7D1T0	LGHC4V1D3HE205650	89860117750004338753	20180712115937	1000.0	570.7	20180712115937	108.851172	34.161725
陕A0D4Z0	LGHC4V1D7HE205649	89860117750004310810	20180712005816	70.0	572.7	20180524092355	108.933417	34.145062
陕A5D0C2	LGHC4V1D3HE205647	89860117750004310729	20180712072121	14498.0	568.2	20180712072121	108.823293	34.338297
陕A1D1S4	LGHC4V1D1HE205646	89860117750004310372	20180711154601	4695.0	571.0	20180709153725	108.806363	34.288865
陕A7D1E5	LGHC4V1DXHE205645	89860117750004315231	20180712115946	10801.0	571.7	20180712115946	108.88402	34.284798
陕A7D2C7	LGHC4V1D6HE205643	89860117750004326923	20180712115957	9647.0	571.5	20180712115957	108.996448	34.251842
陕A7D0U5	LGHC4V1D4HE205642	89860117750004312931	20180712115953	3510.0	571.4	20180712115953	108.828412	34.17288
陕A0D6C7	LGHC4V1D0HE205640	89860117750004338209	20180712102103	5795.0	617.1	20180712102103	108.883138	34.325283
陕A2D1W3	LGHC4V1D2HE205638	89860117750004314853	20180712031406	15670.0	571.5	20180712031406	108.817752	34.267925
陕A7D9V2	LGHC4V1D0HE205637	89860117750004338324	20180712052406	27.0	572.3	20180705165538	108.806465	34.289128
陕A0D6M3	LGHC4V1D9HE205636	89860117750004339181	20180712102352	18121.0	570.5	20180712102352	108.849538	34.324647
陕A7D3A5	LGHC4V1D5HE205634	89860117750004338712	20180712115953	644.0	570.0	20180712115953	109.018822	34.227845
陕A3D8N2	LGHC4V1D3HE205633	89860117750004313194	20180712115932	14649.0	572.0	20180712115932	108.715213	34.313257
陕A9D5M7	LGHC4V1D1HE205632	89860117750004310026	20180712105309	1628.0	570.5	20180712105309	108.911207	34.282298
陕A7D1K0	LGHC4V1D8HE205630	89860117795950239729	20180712044423	15.0	570.5	20180703160707	108.806458	34.288738
陕A8D7W5	LGHC4V1D1HE205629	89860117750004314143	20180712071628	5831.0	571.3	20180712071628	108.860447	34.319873
陕A4D5C0	LGHC4V1DXHE205628	89860117750004339082	20180712061015	12.0	570.5	20180703173339	108.806525	34.288525
陕A1D0R3	LGHC4V1D6HE205626	89860117750004316890	20180712095206	8116.0	571.3	20180712095206	108.644318	34.107653
陕A2D7F6	LGHC4V1D4HE205625	89860117750004310422	20180712115941	5007.0	569.2	20180712115941	109.034552	34.36177
陕A2D7J3	LGHC4V1D0HE205623	89860117750004311040	20180712105317	2976.0	581.8	20180712105317	108.901933	34.181892
陕A2D9P5	LGHC4V1D9HE205622	89860117750004338555	20180712021413	77.0	570.1	20180615121919	108.93372	34.14427
陕A9D2G7	LGHC4V1D5HE205620	89860117750004339777	20180712115936	4495.0	570.1	20180712115936	108.869377	34.284922
陕A7D3U6	LGHC4V1D9HE205619	89860117795950235073	20180712111444	47.0	570.8	20180504181516	108.806797	34.288625
陕A5D2J4	LGHC4V1D5HE205617	89860117750004325107	20180712024410	11386.0	585.0	20180712024410	108.884343	34.284798
陕A9D7S2	LGHC4V1D3HE205616	89860117750004316619	20180712113055	811.0	571.5	20180712113055	108.92492	34.242422
陕A1D7A6	LGHC4V1D1HE205615	89860117750004316791	20180712115945	750.0	572.2	20180712115945	108.931088	34.23537
陕A5D8W3	LGHC4V1D7HE201133	89860117795910149604	20180712114354	8962.0	572.2	20180712114354	108.92271	34.302197
陕A0D4Y2	LGHC4V1D2HE201184	89860117795910149133	20180712090324	4402.0	572.4	20180711210113	108.855105	34.320867
陕A5D6R3	LGHC4V1D1HE201189	89860117795910148366	20180712115954	6477.0	573.0	20180712115954	108.685655	34.358163
陕A7D2B0	LGHC4V1D0HE201202	89860117795910148283	20180712105322	6952.0	615.0	20180711225123	108.783777	34.249812
陕A0D6W1	LGHC4V1D4HE201204	89860117735910498585	20180712115958	485.0	572.2	20180712115958	108.940018	34.245525
陕A3D4V4	LGHC4V1D9HE201229	89860117795910148978	20180712114322	16684.0	571.8	20180712114322	108.905715	34.244587
陕A2D1G5	LGHC4V1D3HE202148	89860117796000557243	20180712115950	4278.0	569.0	20180712115950	108.934342	34.222408
陕A8D6C2	LGHC4V1D8HE205014	89860117796000558738	20180712022359	13875.0	572.0	20180710141718	108.80649	34.28914
陕A8D4W4	LGHC4V1D6HE205013	89860117796000559512	20180712022631	15589.0	572.1	20180710141955	108.806285	34.289183
陕A7D7T4	LGHC4V1D2HE205011	89860117796000558464	20180712055254	15.0	571.2	20180703171452	108.806613	34.288492
陕A9D7Q2	LGHC4V1D0HE205010	89860117796000559629	20180426183124	57.0	565.8	20180419180026	108.933538	34.145303
陕A3D9J7	LGHC4V1D4HE205009	89860117795950233052	20180609214234	61.0	565.0	20180419175821	108.933643	34.145367
陕A0D7H5	LGHC4V1D0HE205007	89860117795950233656	20180712000350	39.0	564.6	20180419180118	108.933623	34.145327
陕A9D2H5	LGHC4V1D9HE205006	89860117796000559587	20180712013057	50.0	570.3	20180615113408	108.933693	34.144407
陕A9B7M2	LGHC4V1D3HE202070	89860117796000438949	20180712115950	3536.0	571.1	20180712115950	108.849517	34.287108
贵AD06262	LGHC4V1D5HE202071	89860117796000437719	20180712020146	98.0	564.8	20180711135939	102.78981	25.011227
贵AD06501	LGHC4V1D7HE202072	89860117795950237194	20180712002706	78.0	566.2	20180704115426	102.789652	25.011162
川A3P9G1	LGHC4V1D0HE202074	89860117796000439426	20180712115931	32694.0	571.9	20180712115931	104.0775	30.681642
川A4N5B4	LGHC4V1D2HE202075	89860117796000437917	20180712115940	38472.0	583.6	20180712115940	103.544615	30.572833
川A3S2A0	LGHC4V1D2HE202089	89860117796000438485	20180712115953	21161.0	572.4	20180712115953	104.028712	30.529033
川A4P9V0	LGHC4V1D9HE202090	89860117796000438337	20180712115931	33945.0	570.1	20180712115931	103.97474	30.563638
川A8R4H5	LGHC4V1D0HE202091	89860117796000439087	20180712091006	42250.0	568.1	20180711090546	104.148733	30.836098
川A4H30X	LGHC4V1D4HE202093	89860117796000438766	20180712115945	26680.0	571.0	20180712115945	103.793585	30.679708
川A61X85	LGHC4V1D6HE202094	89860117796000439145	20180712112021	37331.0	565.5	20180712112021	103.964128	30.535115
川A5P4A4	LGHC4V1D8HE202095	89860117796000437669	20180712114226	18833.0	564.1	20180712114226	103.960577	30.510278
川A91Z1A	LGHC4V1D7HE202167	89860117796000559454	20180712115951	18717.0	571.8	20180712115951	103.97053	30.76654
川A61Y1S	LGHC4V1D9HE202168	89860117795910149430	20180712094131	28562.0	570.5	20180712094131	103.897078	30.617577
川A58Z7S	LGHC4V1D0HE202169	89860117796000437743	20180712093714	26255.0	568.1	20180712093714	104.296225	30.839608
川A33Y3J	LGHC4V1D1HE202181	89860117795910148721	20180712115942	1020.0	549.8	20180712115942	103.878248	30.634895
川A78Y5C	LGHC4V1D4HE202210	89860117796000559314	20180712032200	28186.0	572.7	20180712032200	103.96968	30.756122
川AS19Q9	LGHC4V1D7HE202217	89860117735910498346	20180712115959	21218.0	569.5	20180712115959	103.789362	30.605397
川A62X9V	LGHC4V1DXHE202227	89860117796000559892	20180712115954	20322.0	572.0	20180712115954	104.06958	30.669057
川A50Z9H	LGHC4V1D1HE202228	89860117796000439749	20180712115915	27784.0	572.1	20180712115915	104.069815	30.685255
川A1HF99	LGHC4V1D4HE202238	89860117796000559785	20180712035617	1170.0	588.8	20180711155358	104.18917	30.963455
川A91Z2X	LGHC4V1D1HE202245	89860117796000559702	20180712115949	24205.0	604.1	20180712115949	104.058262	30.796208
川A09Y1Z	LGHC4V1D7HE202251	89860117796000558530	20180712114737	23202.0	571.1	20180712114737	null	null
川A69Z8X	LGHC4V1D4HE202305	89860117796000438832	20180712115932	25401.0	564.4	20180712115932	103.984897	30.530522
川A93Y0B	LGHC4V1D1HE202097	89860117795910149851	20180712084237	31295.0	565.9	20180711204043	104.02842	30.620208
川A31X1K	LGHC4V1D1HE202102	89860117796000439053	20180712111727	34596.0	570.6	20180712111727	104.069675	30.694747
粤AD12841	LGHC4V1D4HE202627	89860117796000678262	20180616170947	815.0	572.0	20180528221605	113.295738	23.309533
粤A7R5W7	LGHC4V1D6HE202628	89860117796000678288	20180712104414	224.0	572.5	20180712104414	113.303603	23.314187
粤AD03623	LGHC4V1D4HE202630	89860117796000678700	20180418150156	346.0	565.7	20180418150156	113.303937	23.313457
粤AD10810	LGHC4V1D9HE202638	89860117796000555692	20180608134537	163.0	532.1	20180608134537	113.303257	23.314482
粤A0E6F7	LGHC4V1D7HE202640	89860117796000678809	20180418162801	211.0	490.8	20180418162801	113.304003	23.31362
粤AD02382	LGHC4V1D4HE202644	89860117796000678643	20180418104533	163.0	475.0	20180418104533	113.303277	23.314422
粤A2K2G4	LGHC4V1DXHE202647	89860117795950234548	20180612103810	122.0	559.8	20180418183856	113.304008	23.313555
粤AD03533	LGHC4V1D1HE202648	89860117796000679245	20180710180213	196.0	571.5	20180710180213	113.303537	23.314388
粤AD09629	LGHC4V1D3HE202649	89860117796000679377	20180705105357	86.0	572.6	20180705105357	113.303355	23.314428
粤AD05280	LGHC4V1D5HE202653	89860117796000679088	20180712115950	142.0	549.5	20180712115950	113.258155	23.209885
粤AD10192	LGHC4V1D7HE202654	89860117795950227419	20180712111935	191.0	572.3	20180705104919	113.303318	23.314403
粤AD16101	LGHC4V1D9HE202655	89860117796000678908	20180712115950	4911.0	566.1	20180712115950	113.24997	23.059733
粤AD04185	LGHC4V1D0HE202656	89860117796000677850	20180712114512	4791.0	0.0	20180712114512	113.367672	23.14423
粤A6T9S0	LGHC4V1D2HE202657	89860117796000556963	20180418184001	82.0	563.8	20180418184001	113.304022	23.313622
粤AD08235	LGHC4V1D4HE202658	89860117796000556815	20180418182355	159.0	571.2	20180418182355	113.30378	23.313397
川AQ57M7	LGHC4V1D1HE202519	89860117796000558308	20180414163406	73.0	564.4	20180414163406	104.181793	30.557152
川AJ2X00	LGHC4V1D1HE202522	89860117796000556948	20180712114636	1424.0	568.2	20180712114636	103.932487	30.758452
川A6R11Z	LGHC4V1D3HE202523	89860117796000557219	20180530163236	138.0	564.3	20180530163236	104.181652	30.557232
川A22J9K	LGHC4V1D7HE202525	89860117796000557755	20180708143327	37893.0	572.0	20180708143327	104.07515	30.680542
川A7JT75	LGHC4V1D9HE202526	89860117796000557318	20180712115939	18957.0	560.1	20180712115939	104.043877	30.533723
川A9B53G	LGHC4V1D0HE202527	89860117796000557201	20180708211100	38194.0	563.8	20180708211100	119.786403	32.065388
川A53Y5Q	LGHC4V1D3HE202540	89860117795910149307	20180710125259	32074.0	589.6	20180706073010	104.125915	30.804747
川AB58M8	LGHC4V1D5HE202541	89860117796000558035	20180710173733	163.0	517.2	20180710173733	104.180952	30.556908
川A05WU0	LGHC4V1D7HE202542	89860117796000556302	20180710155017	511.0	565.8	20180710155017	104.18113	30.55701
川A0D7S0	LGHC4V1D9HE202543	89860117796000557698	20180414150224	75.0	565.1	20180414150224	104.181178	30.55665
川A37Z6Q	LGHC4V1D3HE202666	89860117796000556328	20180629134214	16792.0	566.2	20180629134214	104.140837	30.653092
川A3N5H0	LGHC4V1D5HE202667	89860117795950237665	20180712115959	17122.0	572.0	20180712115959	103.934535	30.762927
川A00MD3	LGHC4V1D7HE202668	89860117796000557607	20180705111604	16679.0	572.0	20180705111604	104.03524	30.627413
川A6Q88J	LGHC4V1D5HE202670	89860117750004312253	20180712090241	18606.0	571.3	20180712090241	104.067688	30.590127
川A62Y0Z	LGHC4V1D7HE202671	89860117750004338738	20180712020226	26173.0	597.7	20180712020226	104.029695	30.615027
川A0Y30E	LGHC4V1D9HE202672	89860117750004311529	20180712115955	15493.0	566.8	20180712115955	104.026977	30.694995
川A73X4D	LGHC4V1D2HE202674	89860117750004310919	20180712021718	23177.0	592.0	20180712021718	104.029495	30.615137
川A1P31D	LGHC4V1D6HE202676	89860117750004311347	20180712111906	18515.0	570.0	20180712111906	104.153902	30.609128
川A7Y9N0	LGHC4V1DXHE202678	89860117750004311198	20180712115841	18648.0	572.3	20180712115841	104.01846	30.674667
川A0W13U	LGHC4V1D1HE202679	89860117750004311396	20180702063619	19384.0	565.9	20180702063619	104.006192	30.70488
川A9V93M	LGHC4V1D8HE202680	89860117750004314754	20180712115943	19312.0	571.2	20180712115943	104.006222	30.583258
川A80B8X	LGHC4V1DXHE202681	89860117750004313731	20180712115955	26407.0	566.9	20180712115955	104.009087	30.621658
川A55Y4W	LGHC4V1D1HE202682	89860117750004310265	20180630191336	22958.0	564.5	20180630191336	104.031645	30.614053
川A0X0X1	LGHC4V1D5HE202684	89860117750004311578	20180711094537	17399.0	572.0	20180711094537	104.054285	30.538475
川A99Q9S	LGHC4V1D7HE202685	89860117750004313863	20180712020308	23403.0	609.6	20180712020308	104.029772	30.615132
川A01Y5R	LGHC4V1D0HE202687	89860117750004312220	20180712091039	18580.0	571.0	20180712091039	104.018305	30.67461
川A0B99H	LGHC4V1D0HE202690	89860117750004311248	20180712112744	17068.0	570.7	20180712112744	104.03566	30.627913
川A47Z5X	LGHC4V1D2HE202691	89860117750004312527	20180712113017	19252.0	0.0	20180712113017	104.079922	30.671142
川A2J66S	LGHC4V1D6HE202693	89860117750004311156	20180629193046	24402.0	563.3	20180629193046	104.030168	30.615138
川AE97S0	LGHC4V1D8HE202694	89860117750004339140	20180712020728	25843.0	592.9	20180712020728	104.029747	30.615185
川A1V1Q1	LGHC4V1DXHE202695	89860117796000556773	20180628185412	18257.0	564.8	20180628185412	104.09737	30.755755
川A04Y6W	LGHC4V1D3HE202697	89860117796000557656	20180712103328	18392.0	571.7	20180712103328	104.051627	30.702903
川A53Z7H	LGHC4V1D5HE202698	89860117750004311461	20180712115931	23479.0	571.8	20180712115931	103.8151	30.652905
川A3P32H	LGHC4V1D1HE202701	89860117750004339900	20180712115938	18428.0	570.2	20180712115938	103.966673	30.618397
川AJ66J6	LGHC4V1D8HE202064	89860117796000438790	20180613144356	183.0	558.3	20180424110332	104.156752	30.564435
川AD16266	LGHC4V1D0HE202057	89860117796000437735	20180712115102	21028.0	573.0	20180712115102	104.032788	30.642842
川AD00928	LGHC4V1D2HE202058	89860117796000437974	20180712064938	17373.0	577.0	20180711184733	103.935043	30.62737
川AD00798	LGHC4V1D4HE202059	89860117795910149885	20180712115001	20476.0	565.0	20180712115001	104.196805	30.551787
川AD11688	LGHC4V1D2HE202061	89860117796000439012	20180712115446	17641.0	572.7	20180712115446	104.033045	30.646002
川AD10218	LGHC4V1D4HE202062	89860117795910149893	20180712111806	21220.0	571.5	20180712111806	104.013092	30.580842
陕A0D4W0	LGHC4V1D4HE202045	89860117795910148333	20180712115953	8116.0	564.5	20180712115953	108.929015	34.216118
陕A5D0W7	LGHC4V1D6HE202046	89860117735910499252	20180712063456	965.0	581.5	20180703175729	108.836892	34.237128
陕A4D2X1	LGHC4V1D8HE202047	89860117795910148820	20180712094400	1115.0	572.0	20180616195045	109.037625	34.207553
陕A1826U	LGHC4V1D8HE202050	89860117795910149372	20180712082541	18864.0	625.3	20180711082137	108.715943	34.168102
陕A9B0V3	LGHC4V1DXHE202051	89860117735910499039	20180712112738	12162.0	570.8	20180712112738	108.98817	34.300278
陕A2D1L7	LGHC4V1D1HE202052	89860117735910498692	20180712115939	10424.0	571.3	20180712115939	108.787857	34.406578
川R72202	LGKALX3T5HE610025	89860117735910498361	20180712115931	52154.0	557.9	20180712115931	106.087695	30.786557
沪AD82936	LGHC4V1D5HE202149	89860117796000438675	20180712091715	4734.0	602.5	20180711211517	121.014003	31.222588
沪AD69215	LGHC4V1D3HE202151	89860117796000437495	20180712082005	1628.0	600.5	20180706195611	121.01388	31.22267
沪AD82736	LGHC4V1D5HE202183	89860117796000559199	20180711185840	76.0	563.8	20180608163227	121.205138	31.174318
沪AD89526	LGHC4V1D6HE202192	89860117796000558597	20180712070806	70.0	564.4	20180608163917	121.205118	31.174187
沪AD83692	LGHC4V1D8HE202193	89860117795950235297	20180712071851	303.0	562.1	20180711071452	121.546822	31.313698
沪AD83395	LGHC4V1DXHE202194	89860117796000559306	20180712092208	1983.0	593.3	20180711091757	121.014263	31.222678
沪AD61279	LGHC4V1D1HE202195	89860117750004334968	20180711115523	13826.0	572.2	20180709114617	121.205015	31.173818
